Category,Stock,MAPE_Base,RMSE_Base,MAE_Base,R2_Base,DA_Base,MAPE_VIX,RMSE_VIX,MAE_VIX,R2_VIX,DA_VIX,Improvement_MAPE (%),P_Value,Significant,VIX_MAPE_mean_robust,VIX_MAPE_std_robust,VIX_MAPE_95CI,Base_MAPE_mean_robust,Base_MAPE_std_robust
Container_TW,2603.TW,7.269,15.823,6.088,0.9223,50.44,8.461,16.282,7.005,0.9177,52.47,-16.39,0.0,Yes,8.7744,0.8442,"[7.1197, 10.429]",8.2782,0.9251
Container_TW,2609.TW,16.368,6.166,3.189,0.9334,50.69,16.266,6.87,3.201,0.9173,50.99,0.62,0.0,Yes,16.846,1.1745,"[14.5441, 19.148]",16.6775,1.1882
Container_TW,2615.TW,7.46,17.765,5.712,0.8101,50.3,9.023,18.945,6.903,0.784,51.38,-20.95,0.0,Yes,9.2567,1.1136,"[7.074, 11.4393]",8.4551,0.9888
Bulk_TW,2606.TW,6.461,3.734,2.35,0.9126,50.4,5.967,3.577,2.204,0.9198,52.77,7.65,0.0,Yes,5.7372,0.518,"[4.7219, 6.7524]",5.577,0.601
Bulk_TW,2637.TW,5.765,5.527,2.81,0.918,51.14,6.151,5.761,2.94,0.9109,51.93,-6.71,0.0,Yes,5.6016,0.336,"[4.9431, 6.2601]",5.3966,0.3918
Bulk_TW,2605.TW,4.044,1.492,0.812,0.9351,52.32,4.211,1.258,0.808,0.9539,52.92,-4.14,0.0,Yes,4.6294,0.292,"[4.057, 5.2018]",4.6929,0.3636
International,1919.HK,7.958,0.569,0.315,0.9626,49.19,10.2,0.884,0.484,0.9098,51.39,-28.18,0.0,Yes,9.7875,0.8573,"[8.1073, 11.4677]",9.1904,1.466
International,0316.HK,8.898,8.024,4.543,0.956,49.19,10.217,8.515,5.163,0.9504,50.51,-14.82,0.0,Yes,10.2434,0.9355,"[8.4099, 12.0769]",10.3481,1.2605
International,MAERSK-B.CO,5.673,687.554,467.35,0.9487,48.2,4.92,601.669,402.223,0.9607,50.02,13.28,0.0,Yes,5.2973,0.4281,"[4.4582, 6.1364]",5.3572,0.6428
International,HLAG.DE,13.063,19.788,12.826,0.9116,50.93,14.436,20.79,13.064,0.9025,50.98,-10.5,0.0,Yes,13.0401,1.4956,"[10.1088, 15.9714]",12.3389,0.466
